sample_id,headline,news_desk,pub_date,full_text_words
0,"As Deadline Lapses, Trump Administration Continues TikTok Talks",Business,2020-12-05 02:07:20,387
1,TikTok Pushes Back Against Claims It Fuels Antisemitism,Business,2023-11-02 23:48:10,672
2,"Before Ukraine Invasion, Russia and China Cemented Economic Ties",Business,2022-02-26 10:00:19,1847
3,"With Harsh Words, China’s Military Denies It Hacked Equifax",Business,2020-02-13 08:27:52,407
4,Senators Say TikTok May Have Misled Congress on Handling of U.S. User Data,Business,2023-06-07 17:16:36,459
5,Who Gains From Elon Musk’s Visit to China?,Business,2024-04-29 11:52:45,2048
6,TikTok Prompts Users to Call Congress to Fight Possible Ban,Business,2024-03-07 20:46:34,913
7,A coalition of state attorneys general opens an investigation into TikTok.,Business,2022-03-02 21:15:40,465
8,Halting China’s Economy Was Hard. Restarting It Is Harder.,Business,2020-03-12 09:00:33,1493
9,China pushes for regular mass testing in its ‘zero Covid’ pursuit.,Business,2022-05-25 12:03:39,532
10,"After Agnes Chow Is Arrested in Hong Kong, a ‘Mulan’ Meme Is Born",Foreign,2020-08-13 08:06:04,745
11,"As China’s Propaganda Push Continues, Wuhan Emerges as a Star",Foreign,2020-11-06 18:03:57,1484
12,8 Pro-Democracy Politicians Arrested in Hong Kong Over Heated Meeting,Foreign,2020-11-01 06:34:06,638
13,China Long Avoided Discussing Mental Health. The Pandemic Changed That.,Foreign,2020-12-21 10:00:39,1497
14,China Keeps Building Stadiums in Africa. But at What Cost?,Foreign,2024-02-10 10:02:53,1511
15,China Welcomes Belarusian Leader Amid Concerns About Ukraine,Foreign,2023-02-28 15:19:14,1124
16,A Look at Taiwan’s Strongest Earthquakes,Foreign,2024-04-03 02:38:55,265
17,"With Methane and Forest Deals, Climate Summit Offers Hope After Gloomy Start",Foreign,2021-11-02 22:50:40,1629
18,"A Panda Is Coming Home, and Her Chinese Fans Say It’s About Time",Foreign,2023-04-12 13:29:51,1097
19,Chinese Spacewalk Apparently Breaks a Record (Barely),Foreign,2024-12-19 06:47:02,445
20,China Pledges More Stimulus to Shore Up Flagging Economy,Business,2024-12-12 12:48:08,865
21,Forget the Polls: This Chinese Indicator Is Flashing ‘Trump’,Business,2020-10-28 09:00:29,1228
22,U.K. Bars Huawei for 5G as Tech Battle Between China and the West Escalates,Business,2020-07-14 11:44:58,1911
23,"As Coronavirus Spreads, Face Mask Makers Go Into Overdrive",Business,2020-02-06 15:52:52,1451
24,"In One Key A.I. Metric, China Pulls Ahead of the U.S.: Talent",Business,2024-03-22 04:00:35,1112
25,"As Chinese Vaccines Stumble, U.S. Finds New Opening in Asia",Business,2021-08-20 07:00:13,1468
26,China Bet It All on Real Estate. Now Its Economy Is Paying the Price.,Business,2023-10-16 14:39:15,1356
27,F.C.C. Designates Huawei and ZTE as National Security Threats,Business,2020-06-30 19:31:29,493
28,China Wants to Bulldoze Old Neighborhoods to Revive the Economy,Business,2023-11-17 10:03:12,1417
29,"Gifts, Gadgets and Greece: Inside a Huawei Lobbying Campaign",Business,2023-09-28 13:36:14,1934
30,Alibaba’s Boss Steps Aside,Business,2023-09-10 18:00:29,460
31,Big Tech Reconsiders the “Made in China” Way,Business,2022-09-01 11:54:05,2129
32,Why China’s Most-Hated Internet Company Decided to Play Nice,Business,2021-06-02 07:00:09,1449
33,Facebook Failed to Stop Ads Threatening Election Workers,Business,2022-12-01 19:32:45,528
34,Poor Countries Borrowed Billions from China. They Can’t Pay It Back.,Business,2020-05-18 17:59:02,1640
35,China Returns to Davos With Clear Message: We’re Open for Business,Business,2023-01-17 18:56:43,1267
36,Thousands of Microsoft Customers May Have Been Victims of Hack Tied to China,Business,2021-03-06 19:04:23,1029
37,Uncertainty Swirls Around Evergrande as a Deadline Passes,Business,2021-09-23 10:44:50,856
