sample_id,news_desk,source,sentiment,n_chunks,word_count
0,Business,NYT (real),-0.7163679057266563,2,387
1,Business,NYT (real),-0.36029596673324704,3,672
2,Business,NYT (real),-0.3552073185176899,6,1847
3,Business,NYT (real),-0.9920054983813316,2,407
4,Business,NYT (real),-0.4113982933340594,2,459
5,Business,NYT (real),-0.8241695050549295,7,2048
6,Business,NYT (real),-0.9695835774764419,3,913
7,Business,NYT (real),-0.45530981477349997,2,465
8,Business,NYT (real),-0.9925730066606775,5,1493
9,Business,NYT (real),-0.8846926006954163,2,532
10,Foreign,NYT (real),-0.9347430343429247,3,745
11,Foreign,NYT (real),-0.271624693274498,5,1484
12,Foreign,NYT (real),-0.9559013089165092,2,638
13,Foreign,NYT (real),-0.5755623869597912,5,1497
14,Foreign,NYT (real),0.20731491166516208,5,1511
15,Foreign,NYT (real),-0.6465639664093032,4,1124
16,Foreign,NYT (real),-0.9292120710015297,1,265
17,Foreign,NYT (real),-0.5778754974715412,5,1629
18,Foreign,NYT (real),-0.13075637305155396,4,1097
19,Foreign,NYT (real),-0.8572790273465216,2,445
20,Business,NYT (real),-0.9887545904299865,3,865
21,Business,NYT (real),-0.9739956603734754,4,1228
22,Business,NYT (real),-0.9641685729729943,6,1911
23,Business,NYT (real),-0.9814339460339397,5,1451
24,Business,NYT (real),0.38488011312438175,4,1112
25,Business,NYT (real),-0.6931934947147965,5,1468
26,Business,NYT (real),-0.5663345714099706,5,1356
27,Business,NYT (real),-0.9431676934473217,2,493
28,Business,NYT (real),-0.9769412454450503,5,1417
29,Business,NYT (real),-0.41066255220877274,7,1934
30,Business,NYT (real),-0.59974859142676,2,460
31,Business,NYT (real),-0.7731190180566045,8,2129
32,Business,NYT (real),-0.5934046089649201,5,1449
33,Business,NYT (real),-0.9963965365313925,2,528
34,Business,NYT (real),-0.7140704101572434,6,1640
35,Business,NYT (real),-0.5651895068585873,4,1267
36,Business,NYT (real),-0.9861080455593765,4,1029
37,Business,NYT (real),-0.9860822569268445,3,856
38,Business,NYT (real),-0.5968226525350474,5,1357
39,Business,NYT (real),-0.45277304702904075,4,1128
40,Business,NYT (real),-0.9888970161555335,4,1004
41,Business,NYT (real),-0.9955651641503209,4,1268
42,Business,NYT (real),0.3182011980873843,3,639
43,Business,NYT (real),-0.6573634474771097,6,1912
44,Business,NYT (real),-0.9700269480235875,2,458
45,Business,NYT (real),-0.589193403441459,5,1373
46,Business,NYT (real),-0.21374361757189037,5,1462
47,Business,NYT (real),-0.9219455760903656,2,511
48,Business,NYT (real),-0.16405713325366378,4,1082
49,Business,NYT (real),-0.960294421762228,2,496
50,Foreign,NYT (real),-0.7235425105900504,2,618
51,Foreign,NYT (real),-0.3475768657401204,5,1349
52,Foreign,NYT (real),0.8886361949844286,4,1246
53,Foreign,NYT (real),-0.9971226317429682,4,1182
54,Foreign,NYT (real),0.014687476679682732,3,866
55,Foreign,NYT (real),-0.9359225706430152,2,666
56,Foreign,NYT (real),-0.9862472007516772,2,492
57,Foreign,NYT (real),-0.9617961811988304,3,823
58,Foreign,NYT (real),0.11890699067153036,5,1554
59,Foreign,NYT (real),-0.9806016143411398,3,804
60,Foreign,NYT (real),-0.9825489110080525,4,1073
61,Foreign,NYT (real),0.02412695313493411,3,697
62,Foreign,NYT (real),-0.6246144270407967,6,1645
63,Foreign,NYT (real),0.6464452794753015,2,564
64,Foreign,NYT (real),-0.6694650934077799,3,954
65,Foreign,NYT (real),-0.9857041819486767,5,1589
66,Foreign,NYT (real),-0.5138295397628099,4,1268
67,Foreign,NYT (real),-0.9916121903806925,1,265
68,Foreign,NYT (real),-0.9693992525571957,4,1294
69,Foreign,NYT (real),-0.49290935024619104,5,1287
70,Foreign,NYT (real),-0.9114879504777491,4,1159
71,Foreign,NYT (real),-0.9751091854802022,3,957
72,Foreign,NYT (real),-0.9741441906662658,4,1154
73,Foreign,NYT (real),-0.7685480882413686,5,1361
74,Foreign,NYT (real),-0.32739237098333734,3,754
75,Foreign,NYT (real),-0.3842907417565584,6,1748
76,Foreign,NYT (real),-0.637256532162428,5,1544
77,Foreign,NYT (real),-0.9939115805318579,2,649
78,Foreign,NYT (real),-0.604684058111161,6,1635
79,Foreign,NYT (real),-0.9895222163759172,2,520
