sample_id,rep,prompt_version,news_desk,model,sentiment,n_chunks,word_count
0,0,A,Business,Claude-Haiku-4.5,-0.9634098443202674,3,1041
0,1,A,Business,Claude-Haiku-4.5,-0.9898991145892069,4,1065
0,2,A,Business,Claude-Haiku-4.5,-0.962031002913136,4,1080
1,0,A,Business,Claude-Haiku-4.5,-0.9928799492990947,4,1093
1,1,A,Business,Claude-Haiku-4.5,-0.989391439827159,4,1136
1,2,A,Business,Claude-Haiku-4.5,-0.5132995104650036,4,1032
2,0,A,Business,Claude-Haiku-4.5,0.7562127898757657,3,963
2,1,A,Business,Claude-Haiku-4.5,0.481626443254451,3,956
2,2,A,Business,Claude-Haiku-4.5,0.8790020477026701,3,948
3,0,A,Business,Claude-Haiku-4.5,-0.5772453127428889,4,1038
3,1,A,Business,Claude-Haiku-4.5,-0.8308287301333621,4,1070
3,2,A,Business,Claude-Haiku-4.5,-0.19375771551858634,4,1033
4,0,A,Business,Claude-Haiku-4.5,-0.9885377903992776,4,1094
4,1,A,Business,Claude-Haiku-4.5,-0.9851742888567969,4,1107
4,2,A,Business,Claude-Haiku-4.5,-0.96588308759965,3,993
5,0,A,Business,Claude-Haiku-4.5,0.40491508739069104,4,1085
5,1,A,Business,Claude-Haiku-4.5,0.7055921633727849,3,970
5,2,A,Business,Claude-Haiku-4.5,0.47407847142312676,4,1047
6,0,A,Business,Claude-Haiku-4.5,-0.0001865748781710863,4,1114
6,1,A,Business,Claude-Haiku-4.5,-0.7463473379611969,4,1031
6,2,A,Business,Claude-Haiku-4.5,0.31630146441360313,3,1018
7,0,A,Business,Claude-Haiku-4.5,-0.7972413658474883,3,1005
7,1,A,Business,Claude-Haiku-4.5,-0.6801969449346265,3,1005
7,2,A,Business,Claude-Haiku-4.5,-0.4838055881361167,3,987
8,0,A,Business,Claude-Haiku-4.5,-0.9942578373787304,3,953
8,1,A,Business,Claude-Haiku-4.5,-0.5209882888593711,4,1103
8,2,A,Business,Claude-Haiku-4.5,-0.9968657365243416,4,1077
9,0,A,Business,Claude-Haiku-4.5,-0.18161483636746803,3,944
9,1,A,Business,Claude-Haiku-4.5,-0.3544815495843068,4,1097
9,2,A,Business,Claude-Haiku-4.5,-0.12144510603199403,3,1005
10,0,A,Foreign,Claude-Haiku-4.5,0.9044703169104954,3,981
10,1,A,Foreign,Claude-Haiku-4.5,-0.4033515714108944,4,1087
10,2,A,Foreign,Claude-Haiku-4.5,-0.1338551756925881,4,1027
11,0,A,Foreign,Claude-Haiku-4.5,0.5942694526165724,4,1071
11,1,A,Foreign,Claude-Haiku-4.5,0.9505314516524473,3,994
11,2,A,Foreign,Claude-Haiku-4.5,-0.012288719532079995,4,1122
12,0,A,Foreign,Claude-Haiku-4.5,-0.14585753437131643,4,1084
12,1,A,Foreign,Claude-Haiku-4.5,-0.9653160499874502,4,1067
12,2,A,Foreign,Claude-Haiku-4.5,-0.38881135266274214,4,1050
13,0,A,Foreign,Claude-Haiku-4.5,0.003874951352675756,3,946
13,1,A,Foreign,Claude-Haiku-4.5,0.09023476640383403,3,929
13,2,A,Foreign,Claude-Haiku-4.5,0.03608085215091705,3,990
14,0,A,Foreign,Claude-Haiku-4.5,-0.9437697676476091,4,1089
14,1,A,Foreign,Claude-Haiku-4.5,-0.6204372737556696,4,1104
14,2,A,Foreign,Claude-Haiku-4.5,-0.29349590829224326,4,1017
15,0,A,Foreign,Claude-Haiku-4.5,0.5386790235061198,3,1023
15,1,A,Foreign,Claude-Haiku-4.5,0.9798305929871276,4,1086
15,2,A,Foreign,Claude-Haiku-4.5,0.7466921536251903,4,1041
16,0,A,Foreign,Claude-Haiku-4.5,-0.2871959926560521,3,914
16,1,A,Foreign,Claude-Haiku-4.5,0.47624224222575623,3,906
16,2,A,Foreign,Claude-Haiku-4.5,0.9214506962647041,3,979
17,0,A,Foreign,Claude-Haiku-4.5,-0.8715684997538725,3,985
17,1,A,Foreign,Claude-Haiku-4.5,0.11525040244062741,3,1018
17,2,A,Foreign,Claude-Haiku-4.5,0.12544084216157594,3,982
18,0,A,Foreign,Claude-Haiku-4.5,0.9624193807248957,4,1061
18,1,A,Foreign,Claude-Haiku-4.5,0.9836404141775953,3,965
18,2,A,Foreign,Claude-Haiku-4.5,0.4673215512884781,4,1051
19,0,A,Foreign,Claude-Haiku-4.5,0.8984999422294399,3,992
19,1,A,Foreign,Claude-Haiku-4.5,0.5556519040837884,3,987
19,2,A,Foreign,Claude-Haiku-4.5,0.9150207923958078,3,930
