sample_id,rep,prompt_version,news_desk,model,vader_compound
0,0,A,Business,Claude-Haiku-4.5,0.24332499999999996
0,1,A,Business,Claude-Haiku-4.5,0.24214999999999998
0,2,A,Business,Claude-Haiku-4.5,0.44580000000000003
1,0,A,Business,Claude-Haiku-4.5,-0.43915
1,1,A,Business,Claude-Haiku-4.5,-0.771025
1,2,A,Business,Claude-Haiku-4.5,-0.35374999999999995
2,0,A,Business,Claude-Haiku-4.5,0.7358500000000001
2,1,A,Business,Claude-Haiku-4.5,0.5803999999999999
2,2,A,Business,Claude-Haiku-4.5,0.614575
3,0,A,Business,Claude-Haiku-4.5,-0.4559
3,1,A,Business,Claude-Haiku-4.5,0.014399999999999968
3,2,A,Business,Claude-Haiku-4.5,0.13015
4,0,A,Business,Claude-Haiku-4.5,0.4750249999999999
4,1,A,Business,Claude-Haiku-4.5,0.59055
4,2,A,Business,Claude-Haiku-4.5,0.07272500000000001
5,0,A,Business,Claude-Haiku-4.5,0.950825
5,1,A,Business,Claude-Haiku-4.5,0.862525
5,2,A,Business,Claude-Haiku-4.5,0.921925
6,0,A,Business,Claude-Haiku-4.5,0.8532749999999999
6,1,A,Business,Claude-Haiku-4.5,0.723225
6,2,A,Business,Claude-Haiku-4.5,0.46895
7,0,A,Business,Claude-Haiku-4.5,0.48875
7,1,A,Business,Claude-Haiku-4.5,0.85905
7,2,A,Business,Claude-Haiku-4.5,0.7702
8,0,A,Business,Claude-Haiku-4.5,-0.12444999999999998
8,1,A,Business,Claude-Haiku-4.5,-0.968475
8,2,A,Business,Claude-Haiku-4.5,0.07077500000000003
9,0,A,Business,Claude-Haiku-4.5,0.031825000000000006
9,1,A,Business,Claude-Haiku-4.5,-0.2014
9,2,A,Business,Claude-Haiku-4.5,-0.23595000000000005
10,0,A,Foreign,Claude-Haiku-4.5,0.654525
10,1,A,Foreign,Claude-Haiku-4.5,-0.884525
10,2,A,Foreign,Claude-Haiku-4.5,-0.34285
11,0,A,Foreign,Claude-Haiku-4.5,0.42545
11,1,A,Foreign,Claude-Haiku-4.5,0.27297499999999997
11,2,A,Foreign,Claude-Haiku-4.5,0.638575
12,0,A,Foreign,Claude-Haiku-4.5,-0.970025
12,1,A,Foreign,Claude-Haiku-4.5,-0.287325
12,2,A,Foreign,Claude-Haiku-4.5,-0.55305
13,0,A,Foreign,Claude-Haiku-4.5,-0.47152499999999997
13,1,A,Foreign,Claude-Haiku-4.5,-0.487625
13,2,A,Foreign,Claude-Haiku-4.5,-0.559375
14,0,A,Foreign,Claude-Haiku-4.5,-0.13847500000000004
14,1,A,Foreign,Claude-Haiku-4.5,0.700825
14,2,A,Foreign,Claude-Haiku-4.5,-0.29847500000000005
15,0,A,Foreign,Claude-Haiku-4.5,0.6973250000000001
15,1,A,Foreign,Claude-Haiku-4.5,0.38364999999999994
15,2,A,Foreign,Claude-Haiku-4.5,-0.30275
16,0,A,Foreign,Claude-Haiku-4.5,-0.699875
16,1,A,Foreign,Claude-Haiku-4.5,-0.655825
16,2,A,Foreign,Claude-Haiku-4.5,-0.7340500000000001
17,0,A,Foreign,Claude-Haiku-4.5,0.9082250000000001
17,1,A,Foreign,Claude-Haiku-4.5,0.934625
17,2,A,Foreign,Claude-Haiku-4.5,0.8257
18,0,A,Foreign,Claude-Haiku-4.5,0.91185
18,1,A,Foreign,Claude-Haiku-4.5,0.951075
18,2,A,Foreign,Claude-Haiku-4.5,0.5824499999999999
19,0,A,Foreign,Claude-Haiku-4.5,0.801625
19,1,A,Foreign,Claude-Haiku-4.5,0.760675
19,2,A,Foreign,Claude-Haiku-4.5,0.7065
20,0,A,Business,Claude-Haiku-4.5,0.05545
20,1,A,Business,Claude-Haiku-4.5,0.5404500000000001
20,2,A,Business,Claude-Haiku-4.5,-0.04864999999999997
21,0,A,Business,Claude-Haiku-4.5,0.2767
21,1,A,Business,Claude-Haiku-4.5,0.2891
21,2,A,Business,Claude-Haiku-4.5,0.898725
22,0,A,Business,Claude-Haiku-4.5,-0.5436249999999999
22,1,A,Business,Claude-Haiku-4.5,-0.29417499999999996
22,2,A,Business,Claude-Haiku-4.5,-0.13445000000000001
23,0,A,Business,Claude-Haiku-4.5,0.5005
23,1,A,Business,Claude-Haiku-4.5,0.36245
23,2,A,Business,Claude-Haiku-4.5,0.023925000000000002
24,0,A,Business,Claude-Haiku-4.5,0.993
24,1,A,Business,Claude-Haiku-4.5,0.9426000000000001
24,2,A,Business,Claude-Haiku-4.5,0.9835
25,0,A,Business,Claude-Haiku-4.5,0.52385
25,1,A,Business,Claude-Haiku-4.5,0.313075
25,2,A,Business,Claude-Haiku-4.5,0.913
