sample_id,rep,prompt_version,news_desk,model,vader_compound
0,0,A,Business,Gemini-2.5-Flash,0.110925
0,1,A,Business,Gemini-2.5-Flash,0.308925
0,2,A,Business,Gemini-2.5-Flash,0.7706000000000001
1,0,A,Business,Gemini-2.5-Flash,-0.83685
1,1,A,Business,Gemini-2.5-Flash,-0.65045
1,2,A,Business,Gemini-2.5-Flash,-0.826975
2,0,A,Business,Gemini-2.5-Flash,0.7901750000000001
2,1,A,Business,Gemini-2.5-Flash,0.9251
2,2,A,Business,Gemini-2.5-Flash,0.7916
3,0,A,Business,Gemini-2.5-Flash,0.085525
3,1,A,Business,Gemini-2.5-Flash,0.268125
3,2,A,Business,Gemini-2.5-Flash,0.12060000000000001
4,0,A,Business,Gemini-2.5-Flash,0.511425
4,1,A,Business,Gemini-2.5-Flash,0.451975
4,2,A,Business,Gemini-2.5-Flash,0.695325
5,0,A,Business,Gemini-2.5-Flash,0.517575
5,1,A,Business,Gemini-2.5-Flash,0.959
5,2,A,Business,Gemini-2.5-Flash,0.967225
6,0,A,Business,Gemini-2.5-Flash,-0.37622500000000003
6,1,A,Business,Gemini-2.5-Flash,0.20037500000000003
6,2,A,Business,Gemini-2.5-Flash,0.16879999999999998
7,0,A,Business,Gemini-2.5-Flash,0.44820000000000004
7,1,A,Business,Gemini-2.5-Flash,0.17052499999999998
7,2,A,Business,Gemini-2.5-Flash,0.21115000000000003
8,0,A,Business,Gemini-2.5-Flash,-0.34795999999999994
8,1,A,Business,Gemini-2.5-Flash,-0.900225
8,2,A,Business,Gemini-2.5-Flash,-0.7532749999999999
9,0,A,Business,Gemini-2.5-Flash,-0.44365
9,1,A,Business,Gemini-2.5-Flash,-0.64355
9,2,A,Business,Gemini-2.5-Flash,0.20597500000000002
10,0,A,Foreign,Gemini-2.5-Flash,-0.03401999999999998
10,1,A,Foreign,Gemini-2.5-Flash,0.6903400000000001
10,2,A,Foreign,Gemini-2.5-Flash,-0.22229999999999997
11,0,A,Foreign,Gemini-2.5-Flash,0.36260000000000003
11,1,A,Foreign,Gemini-2.5-Flash,0.24782500000000002
11,2,A,Foreign,Gemini-2.5-Flash,0.8876000000000001
12,0,A,Foreign,Gemini-2.5-Flash,-0.78025
12,1,A,Foreign,Gemini-2.5-Flash,-0.572525
12,2,A,Foreign,Gemini-2.5-Flash,-0.757625
13,0,A,Foreign,Gemini-2.5-Flash,-0.15307500000000002
13,1,A,Foreign,Gemini-2.5-Flash,-0.533625
13,2,A,Foreign,Gemini-2.5-Flash,-0.7414
14,0,A,Foreign,Gemini-2.5-Flash,0.82625
14,1,A,Foreign,Gemini-2.5-Flash,0.54132
14,2,A,Foreign,Gemini-2.5-Flash,0.926475
15,0,A,Foreign,Gemini-2.5-Flash,-0.16707500000000003
15,1,A,Foreign,Gemini-2.5-Flash,0.306425
15,2,A,Foreign,Gemini-2.5-Flash,0.7604249999999999
16,0,A,Foreign,Gemini-2.5-Flash,-0.31039999999999995
16,1,A,Foreign,Gemini-2.5-Flash,-0.5832750000000001
16,2,A,Foreign,Gemini-2.5-Flash,-0.808425
